"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2026-03-24","Withdrawal",142.9,"posted","",,true,,"internal transfer","fayez-kirani",,,""
"2026-03-23","Brackets: vrat.joshi picks 1, Sahel's Bracket, KarPicks to Vivek Krishna",30,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-03-21","Snooze - 4010 - Clea",32.47,"pending","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-21","Interest Charge:purchases",13.04,"posted","Other",,false,,"regular","Venture X","9827",,""
"2026-03-20","Costco Gas",63.31,"pending","Gas","Car & Transport",false,,"regular","Ultimate Rewards®","7433",,""
"2026-03-20","Taco Bell",7.58,"pending","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-03-20","Fka Pal Payroll",-1329.45,"posted","",,true,,"income","Total Checking","8913",,""
"2026-03-20","Ra from Shyam Patel",-29,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-03-19","Kroger",0.99,"posted","Groceries","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-19","H-e-b",9.1,"posted","Groceries","Food & Drink",false,,"regular","Ultimate Rewards®","7433",,""
"2026-03-19","Country Cleaners",33.09,"posted","Personal Care",,false,,"regular","Ultimate Rewards®","7433",,""
"2026-03-19","Costco",5.93,"posted","Groceries","Food & Drink",false,,"regular","Ultimate Rewards®","7433",,""
"2026-03-19","Costco",54.11,"posted","Groceries","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-03-19","Zelle Payment From Bharath Kaimal Bacej9hq05ty",-28.75,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-19","Total Wine And More",113.65,"posted","Groceries","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-19","☄️ from Asim Sheikh",-29,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-03-19","Eid Mubarak from Kartik Kancherla",-10,"posted","Bars & Nightlife","Fun",false,,"regular","fayez-kirani",,,""
"2026-03-19","Investment from Vrat Joshi",-10,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-03-18","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-18","Thanks Bxy7pgjag Transfer F",-75,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-18","Empower* Mohammed Mohs",18.35,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-03-17","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-17","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-17","Samsclub.com",35.01,"posted","Groceries","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-17","Bracket: Cougar Chaser to Vivek Krishna",10,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-03-16","Sp Chrystie Nyc",7.61,"posted","Clothing","Shopping",false,,"regular","United QuestSM Card","9237",,""
"2026-03-16","Lose It!* Trial Over",-85.11,"posted","Other",,false,,"regular","United QuestSM Card","9237",,""
"2026-03-16","Dd *doordash Halalmunc",14.58,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-16","Med*mychart",65.48,"posted","Healthcare",,false,,"regular","Ultimate Rewards®","7433",,""
"2026-03-16","Payment Thank You",-415.1,"posted","",,true,,"internal transfer","Ultimate Rewards®","2558",,""
"2026-03-16","Eyes On Second",74,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-03-16","Payment To Chase Card",415.1,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-16","Add To Bal Ca",629.2,"posted","Other",,false,,"regular","Total Checking","8913",,""
"2026-03-16",", Inc. Brex Repay",18.14,"posted","Restaurants","Food & Drink",false,,"regular","Total Checking","8913",,""
"2026-03-16","Dubclub Subscription",40,"posted","Subscriptions",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-16","Amc to Vivek Krishna",30.49,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-03-15","Donnybrook Nyc",53.27,"posted","Restaurants","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-14","Son Del North - Les",17.42,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-14","Ms Yoo",39.2,"posted","Other",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-13","Dd *doordash Target",24.39,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-03-13","Dd *doordash Cvs",21.85,"posted","Healthcare",,false,,"regular","Ultimate Rewards®","2558",,""
"2026-03-12","Sourmouse",18.64,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-12","Armada",71.46,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-12","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-11","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-11","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-11","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-11","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-11","Empower* Prem Chand",14.77,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-03-10","Duane Reade",3.48,"posted","Healthcare",,false,,"regular","United QuestSM Card","9237",,""
"2026-03-10","United",431.42,"posted","Travel & Vacation",,false,,"regular","United QuestSM Card","9237",,""
"2026-03-10","Shop Fair Supermarket",3.19,"posted","Groceries","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-10","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-10","Amc 9640 Online",-30.49,"posted","Entertainment","Fun",false,,"regular","United QuestSM Card","9237",,""
"2026-03-10","Gympass Us Llc",135.29,"posted","Paybacks",,true,,"regular","AAdvantage Aviator","2347",,""
"2026-03-10","Gympass Us Llc",135.29,"posted","Gym",,false,,"regular","AAdvantage Aviator","2347",,""
